knei	obstacle	to stop, to obtrude	obtrusive
kohol	game	to play	gamelike
koli	plagarism	to plagarize	
kou	leg		
kui	scary creature, monster	to scare	scary
kunin	stick-shaped object	to make stick-shaped	stick-shaped
kusum	repetition	to repeat	again, redundant
kut	masculinity		masculine
kynsi	time	to kill time	often
lituwle	bread, grain, wheat		
luel	number, math	to calculate	numerical, mathmatical
makio	sound	to produce sound	noisy, loud
mamyo	age	to age (intransitive), to be the same age as (transitive)	
masno			but, only
mawak	arrival	to come, to arrive, to become	
mees		to read	literary
meome	fight, battle, war	to fight	fighting, aggressive
mikip	usage	to use	used
mjef	grammar		grammatical
mjulis	second		
mjuw			old
mumfih	hunted animals	to hunt, to gather	
mumiu	cold	to freeze (transitive)	cold
muosai	brick		
muyfa	left (my perspective)		to the left (my perspective)
ñaasi			many, most, more
najar		to take with/to	
nakuu	cleanliness	to clean	clean
ñawa	cat		feline
nawpo	sleep	to sleep	asleep
nawtau	black	to make black	black
ñeñe	road		
nesmo	mirror, reflection	to reflect 	opposite, reflected
ninpa		to give	
noaksyo	honey		
nohu	group	to cluster (intransitive), to group together (transitive)	clustered
ñojera	parent	to give birth to	parental
ñokaf	fruit		fruity
nomyt		to open	openable
ñot	child		childish
nowto	tool		
ñuhju	search	to find	
ñuk	growth	to grow (intransitive)	
nyom	name	to use as a name	
ñytejen	1 month in the Gregorian calendar		
nytsa	braid	to weave	
ñytuh	moon, 1 month in the Fynotek calendar		lunar
oansi	sex	to have sex with	sexual
ofu	philosophy		philosophical
Ojnyla	simplified version of Ojnym		
Ojnym	official Fynotek writing system		
omoa	suspicion	to suspect	suspicious
omplan	badness	to dislike	bad
oñek	powder		powdery
oñekatau	gray	to make gray	gray
oñeotnat	sugar		sugary
onstana	death	to die	dead
ookwy	lint		
ootnat	sweetness		sweet
otme	gathering, event, party		
pamlas	feeling (physical)	to feel, to touch (physical)	
pasni	stone, rock, hard solid		
pelwo	waste, grossness	to make dirty	dirty, gross
peoka	middle		average
perlii			few, less, least
pert	wind		windy
piu	food	to eat	
plymei	wall		
prios	code, program	to code	coded, programmed
psoi	skin, outer layer		
puljae	star		
pyhan		to do	
pykwu	image, drawing, picture	to draw, to write	
pyn			fucking, expletive
pynsi		to think	
pyum	love	to love	loving
raim	absence	to get rid of (transitive), to disappear (intransitive)	gone, absent, missing
raimtau	white	to make white	white
ralmo	clay		claylike
ralmtau	brown	to make brown	brown
ratas	knowledge	to know	smart, knowledgeable
repsumu		to help	helpful
reun	air		
ria	money		
rikoa	floor		
rjahe	right (my perspective)		to the right (my perspective)
rjuh	mountain		mountainous
rouju	excitement		excited
ru	warmth	to warm (transitive)	warm
safel	internet	to interact with the internet, to be online	online
salkina	way/method/ideology		
samlaa	government, rules	to govern, to rule	powerful, governmental
seeha	face		facial
sefo	goodness	to like	good
senkek	climate, weather		
sfoufa	invented character/being		
sihne	difference	to change	different, other
sihneawt	transgenderness		transgender
siofu	mushroom, fungus		fungal
skafas	possessions	to have	
smei			some sort of, indeterminate
soatar	arm		
sojeon	side	to be next to	
suarn		to settle/set up house	
susni	mistake	to make a mistake	accidental
swie	tear	to cry	teary
tau	color	to color	colorful
teipiw	secret	to hide (transitive)	secret
tek	gel		gelatinous
teplii	contents, inside	to go inside	inside
tfaa	circle, 1 year in the Fynotek calendar	to make into a circle	circular
tfemka	city		
tia	mouth		oral
tiisupa	attempt	to try, to test	
timohsa	mortar		
tinpo		to change/fluctuate over time	
tlyo	need	to need	necessary
toaju	spirit, meaning, essence		spiritual
tofa	beauty		beautiful
tsala	movement, motion	to move	moving
tukaño	taking	to take, to grab	taken
tunu		to get	
twauke	wing		
tyñk		to introduce	
ukea		to wait, to stay	still 
ukhin	minute		
ula			big, very
ulpia	adult		
unso	thing		
uwsafur	cause	to cause	
uykan	flight	to fly	
weifsa			weird, odd
wiamta	god, deity	to pray	holy, divine
wipy	ease		easy
woetas	bee		
wyike	strength	to strengthen	strong
yahan	place		
yla			small, barely
yñwy	choice	to choose	optional
yren	dog		canine
ywaaso	anger	to anger	angry
ywakui	fear	to be scared of	scared
ywaomplan	sadness	to make sad	sad
ywar	feeling (emotional)	to feel (emotional)	
ywasefo	happiness	to make happy	happy
